episode,timesteps,episode_reward,episode_length,success,collision,out_of_bounds
424,5912,-21.354165,5,0,0,1
425,5912,-22.064786,20,0,0,1
426,5936,-23.673368,31,0,0,1
427,5944,-21.898775,10,0,0,1
428,5944,-21.908996,4,0,0,1
429,5984,-23.353967,22,0,0,1
430,5992,-22.621786,19,0,0,1
431,5992,-18.798164,10,0,0,1
432,6008,-23.498689,46,0,0,1
433,6016,-21.878747,13,0,0,1
434,6016,-22.258383,10,0,0,1
435,6032,-18.086848,11,0,0,1
436,6032,-20.861616,5,0,0,1
437,6040,-21.329916,6,0,0,1
438,6056,-20.692518,6,0,0,1
439,6056,-22.36925,14,0,0,1
440,6056,-18.755693,5,0,0,1
441,6088,-22.041686,7,0,0,1
442,6096,-20.583973,10,0,0,1
443,6104,-22.151722,6,0,0,1
444,6112,-20.532576,7,0,0,1
445,6120,-21.918987,4,0,0,1
446,6128,-22.63632,11,0,0,1
447,6144,-22.215263,5,0,0,1
448,6152,-22.46217,15,0,0,1
449,6160,-19.694377,22,0,0,1
450,6160,-18.033955,8,0,0,1
451,6168,-22.087785,7,0,0,1
452,6176,-22.095324,4,0,0,1
453,6192,-22.388366,17,0,0,1
454,6224,-20.512834,6,0,0,1
455,6232,-22.571572,13,0,0,1
456,6240,-22.130361,9,0,0,1
457,6256,-21.918987,4,0,0,1
458,6272,-20.031581,19,0,0,1
459,6296,-22.825175,13,0,0,1
460,6296,-22.567505,17,0,0,1
461,6320,-22.614977,21,0,0,1
462,6376,-22.4169,15,0,0,1
463,6376,-22.142266,7,0,0,1
464,6384,-19.030914,14,0,0,1
465,6424,-22.030171,6,0,0,1
466,6448,-22.903136,27,0,0,1
467,6472,-22.293222,6,0,0,1
468,6480,-23.075297,23,0,0,1
469,6496,-22.671617,14,0,0,1
470,6496,-22.931873,25,0,0,1
471,6512,-22.042386,5,0,0,1
472,6520,-21.947861,5,0,0,1
473,6536,-21.290051,20,0,0,1
474,6536,-21.989245,5,0,0,1
475,6552,-22.25917,5,0,0,1
476,6552,-21.129892,13,0,0,1
477,6552,-26.542412,49,0,0,1
478,6560,-22.229711,3,0,0,1
479,6568,-26.460663,41,0,0,1
480,6584,-21.919759,6,0,0,1
481,6640,-19.951292,7,0,0,1
482,6640,-22.632246,10,0,0,1
483,6664,-22.691165,14,0,0,1
484,6688,-23.172267,24,0,0,1
485,6696,-22.803281,22,0,0,1
486,6696,-21.821296,7,0,0,1
487,6696,-20.104759,4,0,0,1
488,6704,-22.080328,8,0,0,1
489,6736,-22.821288,21,0,0,1
490,6752,-21.384156,8,0,0,1
491,6760,-23.626024,26,0,0,1
492,6768,-19.428942,9,0,0,1
493,6816,-22.160392,8,0,0,1
494,6824,-21.933831,7,0,0,1
495,6840,-22.430907,17,0,0,1
496,6856,-21.968403,20,0,0,1
497,6864,-21.672988,13,0,0,1
498,6872,-24.251307,40,0,0,1
499,6968,-22.416071,12,0,0,1
500,6992,-23.40971,22,0,0,1
501,7008,-22.575671,23,0,0,1
502,7024,-23.609534,41,0,0,1
503,7040,-19.31975,38,0,0,1
504,7056,-22.104748,11,0,0,1
505,7056,-23.165914,8,0,0,1
506,7056,-25.251414,25,0,0,1
507,7064,-23.164677,25,0,0,1
508,7080,-17.409423,30,0,0,1
509,7096,-21.338179,5,0,0,1
510,7104,-21.878443,5,0,0,1
511,7104,-19.665235,6,0,0,1
512,7128,-20.98884,9,0,0,1
513,7144,-22.473561,17,0,0,1
514,7152,-20.613852,9,0,0,1
515,7160,-19.725593,4,0,0,1
516,7160,-19.55434,7,0,0,1
517,7168,-22.082999,9,0,0,1
518,7216,-21.943057,7,0,0,1
519,7216,-22.758606,9,0,0,1
520,7272,-22.592792,13,0,0,1
521,7280,-18.38442,15,0,0,1
522,7296,-18.600809,24,0,0,1
523,7320,-24.891186,13,0,0,1
524,7320,-22.902885,21,0,0,1
525,7336,-21.96485,7,0,0,1
526,7360,-17.268016,11,0,0,1
527,7360,-22.583437,18,0,0,1
528,7368,-21.554292,6,0,0,1
529,7424,-24.812517,48,0,0,1
530,7448,-22.723094,11,0,0,1
531,7448,-22.07623,10,0,0,1
532,7456,-21.565168,12,0,0,1
533,7464,-18.846648,16,0,0,1
534,7496,-22.072238,5,0,0,1
535,7536,-22.387289,11,0,0,1
536,7536,-22.305602,9,0,0,1
537,7544,-21.224857,6,0,0,1
538,7552,-26.977423,66,0,0,1
539,7560,-22.708195,17,0,0,1
540,7584,-23.964881,36,0,0,1
541,7616,-23.606803,37,0,0,1
542,7624,-19.119612,9,0,0,1
543,7632,-18.978427,12,0,0,1
544,7632,-21.403101,12,0,0,1
545,7640,-22.829258,12,0,0,1
546,7648,-22.844989,11,0,0,1
547,7680,-21.827041,7,0,0,1
548,7696,-19.675027,6,0,0,1
549,7704,-22.140222,9,0,0,1
550,7760,-22.159654,7,0,0,1
551,7760,-22.723416,15,0,0,1
552,7776,-22.483683,20,0,0,1
553,7808,-23.727425,45,0,0,1
554,7808,-19.497823,6,0,0,1
555,7832,-22.127592,7,0,0,1
556,7840,-21.255457,32,0,0,1
557,7848,-23.591889,27,0,0,1
558,7864,-23.078023,21,0,0,1
559,7936,-22.926103,16,0,0,1
560,7936,-22.778254,22,0,0,1
561,7992,-21.537303,39,0,0,1
562,8000,-22.648907,24,0,0,1
563,8000,-21.655903,20,0,0,1
564,8016,-22.510032,19,0,0,1
565,8032,-23.648091,25,0,0,1
566,8056,-22.052803,5,0,0,1
567,8072,-21.15233,17,0,0,1
568,8088,-20.445747,4,0,0,1
569,8112,-22.56567,10,0,0,1
570,8128,-19.272909,5,0,0,1
571,8128,-20.907223,16,0,0,1
572,8136,-22.748591,18,0,0,1
573,8136,-18.283215,8,0,0,1
574,8152,-23.208815,38,0,0,1
575,8160,-21.908996,4,0,0,1
576,8160,-23.232642,20,0,0,1
577,8176,-22.001356,6,0,0,1
578,8216,-21.922843,5,0,0,1
579,8216,-22.274257,13,0,0,1
580,8240,-23.063626,13,0,0,1
581,8240,-18.114799,11,0,0,1
582,8256,-15.166173,40,0,0,1
583,8272,-19.725593,4,0,0,1
584,8272,-22.633816,14,0,0,1
585,8336,-22.779177,22,0,0,1
586,8336,-22.765096,25,0,0,1
587,8352,-22.879408,10,0,0,1
588,8360,-22.667551,15,0,0,1
